goalkeeper,shots_faced,goals_conceded,save_ratio
Albano Benjamín Bizzarri,0.015102971587424963,0.0,1.0
Eugenio Lamanna,0.013647786034004685,0.0,1.0
Vid Belec,0.010928834205585903,0.0,1.0
Emiliano Viviano,0.03526303163758752,0.0,1.0
Marco Sportiello,0.017698744410700712,0.0,1.0
Nicola Leali,0.01576324403896421,0.0,1.0
Daniele Padelli,0.019887311655389837,0.0,1.0
Alberto Pelagotti,0.010107340365804617,0.0,1.0
Anton Ciprian Tătărușanu,0.016101898440545437,0.0,1.0
Łukasz Skorupski,2.728494673698422,0.0,1.0
Andrea Consigli,0.01042545439140029,0.0,1.0
Etrit Berisha,0.0014360588612897698,0.0,1.0
Morgan De Sanctis,0.0006455550942769269,0.0,1.0
Pierluigi Gollini,0.008062002128974245,0.0,1.0
Angelo Esmael da Costa Júnior,0.0036379296712794784,0.0,1.0
Gianluca Pegolo,0.010268373351569977,0.0,1.0
Claudio Garella,1.243750356013798e-11,0.0,1.0
Stefano Tacconi,1.3568185701968705e-11,0.0,1.0
Jindřich Staněk,6.39758755494034,0.0,1.0
Péter Gulácsi,2.707517969266624,0.0,1.0
Mike Maignan,6.526156185836997,0.0,1.0
Patrick Pentz,5.926534289053841,0.0,1.0
Giorgi Mamardashvili,17.310730076692643,0.0,1.0
Fehmi Mert Günok,9.710726480632815,0.0,1.0
Florin Constantin Niţă,7.194960704939642,0.0,1.0
Andriy Lunin,1.2186429607964635,0.0,1.0
Anatolii Trubin,4.1937493911533945,0.0,1.0
Martin Dúbravka,5.736139620837352,0.0,1.0
Bart Verbruggen,7.0073051941096125,0.0,1.0
Altay Bayındır,2.214495422533808,0.0,1.0
Angus Gunn,1.4679391365661905,0.0,1.0
Thomas Strakosha,3.210893853653691,0.0,1.0
David Raya Martin,1.4819510093786266,0.0,1.0
Heorhii Bushchan,1.3487074954455962,0.0,1.0
Uğurcan Çakır,1.1505200572933703,0.0,1.0
Daniel Bachmann,0.8602611751650234,0.0,1.0
Matvey Safonov,0.5174388343936558,0.0,1.0
Danny Ward,0.4887954020582094,0.0,1.0
David Marshall,0.3661348416244388,0.0,1.0
