manager,directness,width,tempo,raw_directness,raw_width,raw_tempo
Francesco Calzona,4,6,10,0.22945469557580347,0.304122026060991,1007.7781938537631
Domenico Tedesco,4,7,10,0.2310224332645179,0.35103943637927815,856.2933765539781
Julian Nagelsmann,5,6,10,0.25456562988071946,0.33747132272267705,1022.9040152201462
Steve Clarke,4,7,10,0.2216574787754715,0.3902909856883305,941.6618171941935
Sylvio Mendes Campos Junior,4,7,10,0.24105461393596986,0.3832391713747646,922.0
Andrii Shevchenko,4,7,10,0.2178484844816907,0.37026084224542544,926.4079683651406
Igor Angelovski,4,6,10,0.2470143072553815,0.32282951869955206,1017.770190875481
Şenol Güneş,4,6,10,0.24525181058412393,0.34371193269954853,1031.5851202517401
Štefan Tarkovič,4,6,10,0.2420091324200913,0.31598173515981737,869.0
Jaroslav Šilhavý,4,7,10,0.2289001969126002,0.35867814111181906,957.6424196479662
Frank de Boer,4,7,10,0.22722939741648257,0.35292902359755035,950.7282360047691
Franco Foda,4,6,10,0.2451143217760392,0.3432235944475471,1195.8058069988817
Markku Kanerva,4,8,10,0.24605551249472588,0.4065650342016561,985.0131286616727
