player,attempts,completions,progressive,accuracy,progressive_ratio,shots,goals,shot_conversion
Yan Valery,6.328371971285137,5.128163493972439,1.2002084773126978,0.8103448275862069,0.23404255319148923,0.10910986157388163,0.0,0.0
Anton Stach,16.916517342346996,12.54152401964807,3.6893066872474938,0.741377422186833,0.2941673341666988,0.3684009894764029,0.15864282298752458,0.4306253987346744
Jaka Bijol,33.76994781810729,27.07725950557875,11.324184088331448,0.8018152604624413,0.4182175114877603,0.2502987686632942,0.0,0.0
Adam Obert,6.139699655180265,5.157347710351423,1.964703889657685,0.84,0.380952380952381,0.0,0.0,0.0
Anthony Jung,10.23624020844635,9.575837614353038,3.6322142675132225,0.935483870967742,0.37931034482758635,0.0,0.0,0.0
Norbert Gyömbér,9.247537914436858,8.746729817507306,2.9984642260320316,0.9458441693818079,0.3428097458812957,0.0,0.0,0.0
Caglar Söyüncü,5.304804813549785,4.9116914939575285,2.0012306920988854,0.9258948569440015,0.4074422619093328,0.03031841485750294,0.0,0.0
Andrés Mateus Uribe Villa,26.477408837838894,23.400488523465086,5.1346243904939,0.8837907314413419,0.21942381182961634,0.7788876562496012,0.0,0.0
David Olatukunbo Alaba,7.9960337399640755,6.392710367699829,2.0042080026923546,0.7994851667207384,0.3135145951268072,0.031012805230711055,0.0,0.0
Denis Huseinbašić,8.166753820879432,8.01604414964532,1.2542366205785764,0.9815459514833418,0.15646578251868434,0.0,0.0,0.0
Thomas Teye Partey,5.990145735381587,5.152072817679449,1.5499683754919438,0.860091397651321,0.30084364688581144,0.10303224817204097,0.0,0.0
Andreas Skov Olsen,15.194585652301814,10.982822879632003,1.5200812687751704,0.7228116074338773,0.13840533398696703,0.5806971297558123,0.0,0.0
Hugo Magnetti,6.416137518738938,5.222039924426506,1.3959632609516581,0.8138915210553145,0.2673214454799415,0.10093283331961499,0.0,0.0
Youri Tielemans,18.46473212475501,15.559969235695581,2.5573910075032464,0.8426858906246943,0.1643570735112011,0.5348501227224525,0.0,0.0
Federico Santiago Valverde Dipetta,86.45372747402956,73.95571850708205,24.732030278713424,0.8554370143184182,0.3344167398812448,4.628387108677909,0.7780024131986502,0.16809363498138452
Hakan Çalhanoğlu,69.4766790563666,60.88141473629942,15.152011480572723,0.8762856193357511,0.2488774537550064,2.561377221127741,0.24987906948564947,0.09755652834908518
Ruslan Malinovskiy,13.755653653955507,11.6683829696091,3.2300354669193245,0.8482608869883692,0.27681945950283915,0.8014967323451133,0.0,0.0
Aaron Ramsey,25.46711275654868,21.11552543822805,4.954904101542495,0.8291291455015194,0.23465691706501504,0.30970173449565386,0.031634328670696314,0.10214449952052254
Joe Allen,5.967966850142179,5.067983095486823,0.849212497529002,0.8491975948837726,0.16756419299923256,0.22898975389836262,0.0,0.0
Christoph Klarer,5.021783146150918,3.2371529226806635,0.8444746754819119,0.6446222045971592,0.2608695652173912,0.0,0.0,0.0
Steven de Sousa Vitoria,10.704329871529051,9.459874604591224,3.3944600474405915,0.8837428141814109,0.3588271715349309,0.0,0.0,0.0
Thomas Delaney,17.837516059332273,12.837355544965666,3.3219950958937647,0.7196829144969088,0.2587756554889942,0.12726736875999287,0.03131368677053074,0.24604646953598644
Cristian Gonzalo Olivera Ibarra,9.427474795176026,6.61452025472064,1.2639824100639658,0.7016216323490193,0.19109207643016723,0.0,0.0,0.0
Matías Nicolás Viña Susperreguy,50.30774061450716,36.18424143290074,9.503993055217318,0.7192579311038737,0.2626555837253439,0.49776662329573884,0.24699183489643775,0.4962000731609763
Mikkel Damsgaard,13.577306193531069,10.24229421354421,2.413177661241902,0.7543686551330903,0.23560909410811134,0.5234903485425845,0.062160389684416825,0.11874218857610945
Marcus Rashford,5.833676318089586,4.473403529789667,0.4412937601091111,0.7668240892827969,0.09864832384791812,0.7963775026945059,0.2521005769086547,0.3165591394228042
Noah Atubolu,10.85801143877229,8.32761527514184,5.340141870231712,0.7669558392069108,0.6412570338320241,0.0,0.0,0.0
Adrian Beck,6.31528928636245,4.906678747174692,0.9214333319616417,0.7769523334062334,0.18779165693132263,0.0,0.0,0.0
Lucas Digne,5.138448926768006,4.375788174974823,0.9224387410446829,0.8515776331218917,0.21080516335779675,0.04336624501033221,0.0,0.0
Riccardo Calafiori,16.301461103164893,15.066501928682703,4.198861193239442,0.9242424242424242,0.27868852459016397,0.0,0.0,0.0
